Sayaç_Kodu,Sayaç_Seri_No,Dönem,Gün,Saat,Çekiş
2127570400.0,500279486,01/2025,27,11-12,0.0
2127570400.0,500279486,01/2025,28,11-12,0.001
2127570400.0,500279486,01/2025,29,11-12,0.001
2127570400.0,500279486,01/2025,30,11-12,0.0
2127570400.0,500279486,01/2025,31,11-12,0.001
2127570400.0,500279486,01/2025,1,12-13,0.001
2127570400.0,500279486,01/2025,2,12-13,0.001
2127570400.0,500279486,01/2025,3,12-13,0.0
2127570400.0,500279486,01/2025,4,12-13,0.0
2127570400.0,500279486,01/2025,5,12-13,0.001
2127570400.0,500279486,01/2025,6,12-13,0.0
2127570400.0,500279486,01/2025,7,12-13,0.001
2127570400.0,500279486,01/2025,8,12-13,0.0
2127570400.0,500279486,01/2025,9,12-13,0.0
2127570400.0,500279486,01/2025,10,12-13,0.001
2127570400.0,500279486,01/2025,11,12-13,0.0
2127570400.0,500279486,01/2025,12,12-13,0.001
2127570400.0,500279486,01/2025,13,12-13,0.001
2127570400.0,500279486,01/2025,14,12-13,0.0
2127570400.0,500279486,01/2025,15,12-13,0.001
2127570400.0,500279486,01/2025,16,12-13,0.001
2127570400.0,500279486,01/2025,17,12-13,0.0
2127570400.0,500279486,01/2025,18,12-13,0.0
2127570400.0,500279486,01/2025,19,12-13,0.001
2127570400.0,500279486,01/2025,20,12-13,0.0
2127570400.0,500279486,01/2025,21,12-13,0.001
2127570400.0,500279486,01/2025,22,12-13,0.001
2127570400.0,500279486,01/2025,23,12-13,0.001
2127570400.0,500279486,01/2025,24,12-13,0.001
2127570400.0,500279486,01/2025,25,12-13,0.0
2127570400.0,500279486,01/2025,26,12-13,0.0
2127570400.0,500279486,01/2025,27,12-13,0.001
2127570400.0,500279486,01/2025,28,12-13,0.0
2127570400.0,500279486,01/2025,29,12-13,0.0
2127570400.0,500279486,01/2025,30,12-13,0.001
2127570400.0,500279486,01/2025,31,12-13,0.0
2127570400.0,500279486,01/2025,1,13-14,0.0
2127570400.0,500279486,01/2025,2,13-14,0.0
2127570400.0,500279486,01/2025,3,13-14,0.001
2127570400.0,500279486,01/2025,4,13-14,0.001
2127570400.0,500279486,01/2025,5,13-14,0.0
2127570400.0,500279486,01/2025,6,13-14,0.001
2127570400.0,500279486,01/2025,7,13-14,0.0
2127570400.0,500279486,01/2025,8,13-14,0.001
2127570400.0,500279486,01/2025,9,13-14,0.0
2127570400.0,500279486,01/2025,10,13-14,0.0
2127570400.0,500279486,01/2025,11,13-14,0.001
2127570400.0,500279486,01/2025,12,13-14,0.0
2127570400.0,500279486,01/2025,13,13-14,0.0
2127570400.0,500279486,01/2025,14,13-14,0.001
2127570400.0,500279486,01/2025,15,13-14,0.0
2127570400.0,500279486,01/2025,16,13-14,0.0
2127570400.0,500279486,01/2025,17,13-14,0.001
2127570400.0,500279486,01/2025,18,13-14,0.001
2127570400.0,500279486,01/2025,19,13-14,0.0
2127570400.0,500279486,01/2025,20,13-14,0.001
2127570400.0,500279486,01/2025,21,13-14,0.0
2127570400.0,500279486,01/2025,22,13-14,0.0
2127570400.0,500279486,01/2025,23,13-14,0.0
2127570400.0,500279486,01/2025,24,13-14,0.0
2127570400.0,500279486,01/2025,25,13-14,0.001
2127570400.0,500279486,01/2025,27,13-14,0.0
2127570400.0,500279486,01/2025,28,13-14,0.001
2127570400.0,500279486,01/2025,29,13-14,0.001
2127570400.0,500279486,01/2025,30,13-14,0.0
2127570400.0,500279486,01/2025,31,13-14,0.001
2127570400.0,500279486,01/2025,1,14-15,0.001
2127570400.0,500279486,01/2025,2,14-15,0.001
2127570400.0,500279486,01/2025,3,14-15,0.0
2127570400.0,500279486,01/2025,4,14-15,0.0
2127570400.0,500279486,01/2025,5,14-15,0.001
2127570400.0,500279486,01/2025,6,14-15,0.0
2127570400.0,500279486,01/2025,7,14-15,0.001
2127570400.0,500279486,01/2025,8,14-15,0.0
2127570400.0,500279486,01/2025,9,14-15,0.0
2127570400.0,500279486,01/2025,10,14-15,0.0
2127570400.0,500279486,01/2025,11,14-15,0.0
2127570400.0,500279486,01/2025,12,14-15,0.001
2127570400.0,500279486,01/2025,13,14-15,0.0
2127570400.0,500279486,01/2025,14,14-15,0.0
2127570400.0,500279486,01/2025,15,14-15,0.001
2127570400.0,500279486,01/2025,16,14-15,0.001
2127570400.0,500279486,01/2025,17,14-15,0.0
2127570400.0,500279486,01/2025,18,14-15,0.0
2127570400.0,500279486,01/2025,19,14-15,0.001
2127570400.0,500279486,01/2025,20,14-15,0.0
2127570400.0,500279486,01/2025,21,14-15,0.001
2127570400.0,500279486,01/2025,22,14-15,0.001
2127570400.0,500279486,01/2025,23,14-15,0.001
2127570400.0,500279486,01/2025,24,14-15,0.001
2127570400.0,500279486,01/2025,25,14-15,0.0
2127570400.0,500279486,01/2025,27,14-15,0.001
2127570400.0,500279486,01/2025,28,14-15,0.0
2127570400.0,500279486,01/2025,29,14-15,0.0
2127570400.0,500279486,01/2025,30,14-15,0.001
2127570400.0,500279486,01/2025,31,14-15,0.0
2127570400.0,500279486,01/2025,1,15-16,0.0
2127570400.0,500279486,01/2025,2,15-16,0.0
2127570400.0,500279486,01/2025,3,15-16,0.001
2127570400.0,500279486,01/2025,4,15-16,0.001
2127570400.0,500279486,01/2025,5,15-16,0.0
2127570400.0,500279486,01/2025,6,15-16,0.001
2127570400.0,500279486,01/2025,7,15-16,0.0
2127570400.0,500279486,01/2025,8,15-16,0.001
2127570400.0,500279486,01/2025,9,15-16,0.001
2127570400.0,500279486,01/2025,10,15-16,0.001
2127570400.0,500279486,01/2025,11,15-16,0.001
2127570400.0,500279486,01/2025,12,15-16,0.0
2127570400.0,500279486,01/2025,13,15-16,0.001
2127570400.0,500279486,01/2025,14,15-16,0.001
2127570400.0,500279486,01/2025,15,15-16,0.0
2127570400.0,500279486,01/2025,16,15-16,0.0
2127570400.0,500279486,01/2025,17,15-16,0.001
2127570400.0,500279486,01/2025,18,15-16,0.001
2127570400.0,500279486,01/2025,19,15-16,0.0
2127570400.0,500279486,01/2025,20,15-16,0.001
2127570400.0,500279486,01/2025,21,15-16,0.0
2127570400.0,500279486,01/2025,22,15-16,0.0
2127570400.0,500279486,01/2025,23,15-16,0.0
2127570400.0,500279486,01/2025,24,15-16,0.0
2127570400.0,500279486,01/2025,25,15-16,0.001
2127570400.0,500279486,01/2025,26,15-16,0.0
2127570400.0,500279486,01/2025,27,15-16,0.0
2127570400.0,500279486,01/2025,28,15-16,0.001
2127570400.0,500279486,01/2025,29,15-16,0.001
2127570400.0,500279486,01/2025,30,15-16,0.0
2127570400.0,500279486,01/2025,31,15-16,0.001
2127570400.0,500279486,01/2025,1,16-17,0.001
2127570400.0,500279486,01/2025,2,16-17,0.001
2127570400.0,500279486,01/2025,3,16-17,0.0
2127570400.0,500279486,01/2025,4,16-17,0.0
2127570400.0,500279486,01/2025,5,16-17,0.001
2127570400.0,500279486,01/2025,6,16-17,0.0
2127570400.0,500279486,01/2025,7,16-17,0.001
2127570400.0,500279486,01/2025,8,16-17,0.0
2127570400.0,500279486,01/2025,9,16-17,0.0
2127570400.0,500279486,01/2025,10,16-17,0.0
2127570400.0,500279486,01/2025,11,16-17,0.0
2127570400.0,500279486,01/2025,12,16-17,0.001
2127570400.0,500279486,01/2025,13,16-17,0.0
2127570400.0,500279486,01/2025,14,16-17,0.0
2127570400.0,500279486,01/2025,15,16-17,0.001
2127570400.0,500279486,01/2025,16,16-17,0.001
2127570400.0,500279486,01/2025,17,16-17,0.0
2127570400.0,500279486,01/2025,18,16-17,0.0
2127570400.0,500279486,01/2025,19,16-17,0.0
2127570400.0,500279486,01/2025,20,16-17,0.0
2127570400.0,500279486,01/2025,21,16-17,0.001
2127570400.0,500279486,01/2025,22,16-17,0.001
2127570400.0,500279486,01/2025,23,16-17,0.001
2127570400.0,500279486,01/2025,24,16-17,0.0
2127570400.0,500279486,01/2025,25,16-17,0.0
2127570400.0,500279486,01/2025,26,16-17,0.001
2127570400.0,500279486,01/2025,27,16-17,0.001
2127570400.0,500279486,01/2025,28,16-17,0.0
2127570400.0,500279486,01/2025,29,16-17,0.0
2127570400.0,500279486,01/2025,30,16-17,0.001
2127570400.0,500279486,01/2025,31,16-17,0.0
2127570400.0,500279486,01/2025,1,17-18,1.342
2127570400.0,500279486,01/2025,2,17-18,1.232
