date,daily_active_kwh,active_hours_count,mean_active_intensity,p10_active,night_missing_frac,has_imputed_long,rolling_28d_median,daily_kwh_norm,delta_1d,delta_7d,rolling_7d_std,rolling_28d_zscore,day_of_year,month,month_sin,month_cos,day_of_year_sin,day_of_year_cos
2025-10-07,83.548,13,6.426769230769231,5.3926,0.4583333333333333,0,86.25649999999999,0.96859946786619,3.4810000000000088,-6.750999999999991,4.252205612553223,-0.286809876937965,280,10,-0.8660254037844386,0.5000000000000001,-0.994217906893952,0.10738134666416306
2025-10-08,83.418,13,6.416769230769232,5.4754000000000005,0.4583333333333333,0,86.25649999999999,0.9670923350704007,-0.12999999999999545,-3.0039999999999907,3.5810566144911853,-0.33017412485250774,281,10,-0.8660254037844386,0.5000000000000001,-0.9922222094179324,0.12447926388678869
2025-10-09,83.53,13,6.4253846153846155,5.5424,0.4583333333333333,0,86.25649999999999,0.9683907879406191,0.11199999999999477,7.576999999999998,3.49002611533422,-0.3147925528839569,282,10,-0.8660254037844386,0.5000000000000001,-0.989932495087353,0.141540295217043
2025-10-10,84.27900000000001,13,6.4830000000000005,5.6852,0.4583333333333333,0,86.25649999999999,0.9770741915102052,0.7490000000000094,10.397000000000006,2.1346676110168454,-0.13183901796102812,283,10,-0.8660254037844386,0.5000000000000001,-0.9873494423939864,0.15855938510313475
2025-10-11,85.029,13,6.540692307692307,5.8262,0.4583333333333333,0,86.25649999999999,0.9857691884089895,0.7499999999999858,5.963999999999999,1.938533933034012,0.045311506964597056,284,10,-0.8660254037844386,0.5000000000000001,-0.9844738167520923,0.17553149042142777
2025-10-12,86.017,13,6.616692307692308,5.9526,0.4583333333333333,0,86.25649999999999,0.9972233976569883,0.9879999999999995,5.763999999999996,1.861906166118212,0.2810320112467614,285,10,-0.8660254037844386,0.5000000000000001,-0.9813064702716093,0.19245158197082995
2025-10-13,85.499,13,6.576846153846153,5.9686,0.4583333333333333,0,86.25649999999999,0.9912180531322278,-0.5180000000000007,5.432000000000002,1.0520829679397647,0.12706864614721516,286,10,-0.8660254037844386,0.5000000000000001,-0.9778483415056567,0.20931464596304888
2025-10-14,84.50800000000001,13,6.500615384615386,6.1053999999999995,0.4583333333333333,0,86.25649999999999,0.9797290638966342,-0.9909999999999854,0.960000000000008,0.9706308699575988,-0.13382616918652404,287,10,-0.8660254037844386,0.5000000000000001,-0.9741004551724206,0.22611568550828803
2025-10-15,84.863,13,6.527923076923077,6.2307999999999995,0.4583333333333333,0,86.25649999999999,0.9838446957620587,0.35499999999998977,1.4449999999999932,0.8158301352145242,-0.04023421781593985,288,10,-0.8660254037844386,0.5000000000000001,-0.970063921851507,0.2428497220959358
2025-10-16,82.216,13,6.324307692307692,5.6848,0.4583333333333333,0,86.2195,0.9535661886232233,-2.6470000000000056,-1.3140000000000072,1.215037781109778,-0.6974025320610806,289,10,-0.8660254037844386,0.5000000000000001,-0.965739937654855,0.25951179706979943
2025-10-17,79.306,13,6.100461538461539,5.7814,0.4583333333333333,0,85.758,0.9247650364980526,-2.9099999999999966,-4.973000000000013,2.364604809426377,-1.3854759120809133,290,10,-0.8660254037844386,0.5000000000000001,-0.9611297838723007,0.27609697309746883
2025-10-18,85.752,13,6.5963076923076915,6.373,0.4583333333333333,0,85.264,1.0057234002627133,6.445999999999998,0.722999999999999,2.435850843819006,0.29341314946734265,291,10,-0.8660254037844386,0.5000000000000001,-0.9562348265919058,0.2926003356333479
2025-10-19,85.944,13,6.611076923076923,6.4218,0.4583333333333333,0,85.264,1.007975229874273,0.19200000000000728,-0.07299999999999329,2.4260276075060214,0.3532011316123383,292,10,-0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723
2025-10-20,86.555,13,6.658076923076924,6.5398,0.4166666666666667,0,85.264,1.0151412084818916,0.6110000000000042,1.0560000000000116,2.5628378708731043,0.5152465385389247,293,10,-0.8660254037844386,0.5000000000000001,-0.9455963874271428,0.3253420847119795
2025-10-21,86.50200000000001,13,6.654000000000001,6.5388,0.4166666666666667,0,85.264,1.0145196096828675,-0.05299999999999727,1.9939999999999998,2.7138843450109746,0.5180949800070147,294,10,-0.8660254037844386,0.5000000000000001,-0.9398560579418953,0.341570769167856
2025-10-22,86.934,13,6.687230769230769,6.5594,0.4166666666666667,0,85.264,1.019586226308876,0.43199999999998795,2.070999999999998,2.8747485935627224,0.6405921114501028,295,10,-0.8660254037844386,0.5000000000000001,-0.9338372288229252,0.35769823883312546
2025-10-23,87.175,14,6.226785714285714,6.4615,0.4166666666666667,0,85.264,1.0224127416025521,0.24099999999999966,4.959000000000003,2.7564935369138657,0.7140655628008536,296,10,-0.8660254037844386,0.5000000000000001,-0.9275416835791965,0.3737197147904692
2025-10-24,87.41100000000002,14,6.243642857142858,6.464,0.4166666666666667,0,85.264,1.025180615500094,0.23600000000001842,8.105000000000018,0.6137602292815796,0.7838757513257633,297,10,-0.8660254037844386,0.5000000000000001,-0.9209712877166347,0.38963044953078774
2025-10-25,86.19500000000001,14,6.156785714285715,6.3064,0.4166666666666667,0,85.264,1.0109190279602178,-1.2160000000000082,0.44300000000001205,0.5272342029516409,0.48593561768149646,298,10,-0.8660254037844386,0.5000000000000001,-0.9141279881853337,0.4054257283599973
2025-10-26,88.01599999999999,14,6.2868571428571425,6.436,0.375,0,85.264,1.0322762244323513,1.8209999999999837,2.0719999999999885,0.6223331675466788,1.000718608646256,299,10,-0.8660254037844386,0.5000000000000001,-0.9070138128026362,0.42110087079608916
2025-10-27,88.00099999999999,14,6.285785714285714,6.4562,0.375,0,85.264,1.0321003002439482,-0.015000000000000568,1.4459999999999837,0.6972148674753427,1.0246322571730582,300,10,-0.8660254037844386,0.5000000000000001,-0.8996308696522434,0.4366512319560638
2025-10-28,88.60000000000001,14,6.328571428571429,6.4529,0.375,0,85.264,1.0391255395008445,0.599000000000018,2.097999999999999,0.802096419806704,1.1710857483069466,301,10,-0.8660254037844386,0.5000000000000001,-0.8919813464595487,0.45207220393230374
2025-10-29,85.63000000000001,14,6.116428571428572,5.5561,0.375,0,85.264,1.0042925501970352,-2.969999999999999,-1.3039999999999878,1.0591810852864805,0.4124813759514427,302,10,-0.8660254037844386,0.5000000000000001,-0.8840675099433637,0.46735921715800205
2025-10-30,89.62500000000001,15,5.9750000000000005,3.8158000000000003,0.375,0,85.264,1.0511470257083884,3.9950000000000045,2.450000000000017,1.3732010916450972,1.5069692754558128,303,10,-0.8660254037844386,0.5000000000000001,-0.8758917051442433,0.48250774176121763
2025-10-31,89.81299999999999,15,5.9875333333333325,3.8466000000000005,0.375,0,85.56450000000001,1.0496526012540244,0.18799999999997397,2.4019999999999726,1.5895868885312574,1.5147199326425904,304,10,-0.8660254037844386,0.5000000000000001,-0.8674563547295971,0.4975132889071803
2025-11-01,89.98400000000001,15,5.998933333333334,3.9430000000000005,0.375,0,85.691,1.0500986101224166,0.1710000000000207,3.7890000000000015,1.5230411932020902,1.6673430705191328,305,11,-0.5000000000000004,0.8660254037844384,-0.858763958275803,0.5123714121284235
2025-11-02,90.345,15,6.023,4.013400000000001,0.375,0,85.848,1.0523832820799552,0.36099999999999,2.3290000000000077,1.6431852632992265,1.7250368931161115,306,11,-0.5000000000000004,0.8660254037844384,-0.8498170915275277,0.5270777086423724
2025-11-03,92.03800000000001,16,5.752375000000001,2.4415,0.3333333333333333,0,85.9805,1.070452021097807,1.693000000000012,4.03700000000002,1.968896887188572,2.2458191031382997,307,11,-0.5000000000000004,0.8660254037844384,-0.8406184056344783,0.5416278206559811
2025-11-04,89.56700000000001,15,5.971133333333333,4.1394,0.375,0,86.106,1.0401946438111167,-2.4710000000000036,0.9669999999999987,1.9342831328673482,1.1911901110495462,308,11,-0.5000000000000004,0.8660254037844384,-0.8311706263658079,0.5560174366570446
2025-11-05,90.39700000000002,15,6.026466666666668,4.2018,0.375,0,86.3485,1.0468855857368689,0.8300000000000125,4.76700000000001,0.8511135283233836,1.4104552920403894,309,11,-0.5000000000000004,0.8660254037844384,-0.8214765533024145,0.5702422926917867
2025-11-06,91.21499999999997,15,6.080999999999999,4.3254,0.375,0,86.52850000000001,1.0541613456837917,0.8179999999999552,1.5899999999999608,0.8676766733776028,1.6036992326915944,310,11,-0.5000000000000004,0.8660254037844384,-0.8115390590073611,0.5842981736283683
2025-11-07,91.441,15,6.096066666666667,4.4076,0.375,0,86.7445,1.054141761149122,0.2260000000000275,1.6280000000000143,0.8772730204336278,1.5598050701976753,311,11,-0.5000000000000004,0.8660254037844384,-0.801361088174677,0.5981809144059158
2025-11-08,91.304,15,6.0869333333333335,4.4458,0.375,0,87.05449999999999,1.0488142485454515,-0.13700000000000045,1.3199999999999932,0.8354721220163102,1.3889191211438192,312,11,-0.5000000000000004,0.8660254037844384,-0.7909456567567774,0.6118864012687242
2025-11-09,91.795,15,6.119666666666666,4.5172,0.375,0,87.293,1.051573436587126,0.49099999999999966,1.4500000000000028,0.8541881971733284,1.4514975262032834,313,11,-0.5000000000000004,0.8660254037844384,-0.780295851070776,0.6254105729852457
2025-11-10,92.475,15,6.165,4.6464,0.375,0,87.706,1.054374843226233,0.6799999999999926,0.4369999999999834,0.9446522917881921,1.5641251707397503,314,11,-0.5000000000000004,0.8660254037844384,-0.7694148268839381,0.6387494220515268
2025-11-11,92.92999999999999,15,6.195333333333333,4.655200000000001,0.375,0,88.0085,1.0559207349290125,0.4549999999999983,3.3629999999999853,0.8428793903438071,1.5826927662089032,315,11,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125
2025-11-12,92.26499999999999,15,6.150999999999999,4.7424,0.375,0,88.30799999999999,1.044809077320288,-0.6650000000000063,1.8679999999999666,0.6543017725205055,1.2504478652472497,316,11,-0.5000000000000004,0.8660254037844384,-0.7469720876965551,0.6648553979642866
2025-11-13,92.952,16,5.8095,3.3,0.2916666666666667,0,89.08350000000002,1.0434255501860612,0.6870000000000118,1.7370000000000232,0.67244380186474,1.3778898919340852,317,11,-0.5000000000000004,0.8660254037844384,-0.7354170229639858,0.6776147890466887
2025-11-14,90.537,15,6.0358,4.642,0.375,0,89.596,1.0105027010134382,-2.414999999999992,-0.9039999999999964,0.8873513825932348,0.5260441090618362,318,11,-0.5000000000000004,0.8660254037844384,-0.7236440382959124,0.690173388242972
2025-11-15,90.14399999999999,15,6.0096,4.6622,0.375,0,89.719,1.0047370122270645,-0.3930000000000149,-1.1600000000000108,1.1238293803732609,0.33639894672642,319,11,-0.5000000000000004,0.8660254037844384,-0.711656622281775,0.7025274741691566
2025-11-16,92.519,15,6.167933333333334,4.8984000000000005,0.375,0,89.8985,1.0291495408710936,2.375000000000014,0.7240000000000038,1.1486944556236933,1.314961213412035,320,11,-0.5000000000000004,0.8660254037844384,-0.6994583270516471,0.7146733860429608
2025-11-17,94.524,15,6.3016,4.9224000000000006,0.375,0,90.064,1.04952034109078,2.0049999999999955,2.0490000000000066,1.5036832239853142,2.1213007961464045,321,11,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.7266075247685652
2025-11-18,94.024,15,6.268266666666666,5.0766,0.375,0,90.24449999999999,1.041880668628005,-0.5,1.0940000000000083,1.6351481948273783,1.709442567387646,322,11,-0.5000000000000004,0.8660254037844384,-0.6744436188329457,0.7383263540031063
2025-11-19,100.39999999999999,15,6.6933333333333325,5.4028,0.375,0,90.37100000000001,1.110975866151752,6.375999999999991,8.135000000000005,3.420197202612938,4.286397967487827,323,11,-0.5000000000000004,0.8660254037844384,-0.661634618242279,0.749826401204568
2025-11-20,102.489,15,6.8326,5.553800000000001,0.375,0,90.46700000000001,1.1328882354891838,2.089000000000013,9.537000000000006,4.762000889982045,3.973363231243693,324,11,-0.5000000000000004,0.8660254037844384,-0.6486295610349818,0.7611042586607742
2025-11-21,103.857,15,6.9238,5.626,0.375,0,90.87599999999999,1.1428429948501255,1.367999999999995,13.319999999999993,5.332657436338136,3.4778372912201667,325,11,-0.5000000000000004,0.8660254037844384,-0.6354323008901775,0.7721565844991641
2025-11-22,104.18900000000001,15,6.9459333333333335,5.736800000000001,0.375,0,91.25949999999999,1.1416784006048688,0.33200000000000784,14.045000000000016,5.021711489692838,2.903147333195852,326,11,-0.5000000000000004,0.8660254037844384,-0.622046748440868,0.7829801036770624
2025-11-23,104.58700000000002,15,6.9724666666666675,5.805200000000001,0.375,0,91.3725,1.1446222878874937,0.39800000000001035,12.068000000000012,4.530500298242953,2.5748739880077287,327,11,-0.5000000000000004,0.8660254037844384,-0.6084768701151264,0.7935716089521472
2025-11-24,103.67200000000001,15,6.9114666666666675,5.6938,0.375,0,91.618,1.1315680324827,-0.9150000000000063,9.14800000000001,3.7429190798217293,2.0614065386941824,328,11,-0.5000000000000004,0.8660254037844384,-0.594726686960764,0.8039279618328208
2025-11-25,103.111,15,6.874066666666667,5.7472,0.375,0,91.91650000000001,1.121789885385105,-0.561000000000007,9.087000000000003,1.4088101193485942,1.75040885866883,329,11,-0.5000000000000004,0.8660254037844384,-0.5808002734538013,0.8140460935082175
2025-11-26,102.68099999999998,15,6.845399999999999,5.824,0.375,0,92.1515,1.1142629257255714,-0.43000000000002103,2.2809999999999917,0.7806481739084241,1.521336185287642,330,11,-0.5000000000000004,0.8660254037844384,-0.5667017562911184,0.8239230057575536
2025-11-27,103.64500000000001,15,6.909666666666667,5.8848,0.375,0,92.36999999999999,1.1220634405109886,0.9640000000000271,1.156000000000006,0.6371896256575228,1.596738315813445,331,11,-0.5000000000000004,0.8660254037844384,-0.5524353131676203,0.8335557718385695
2025-11-28,104.39800000000001,15,6.9598666666666675,5.9236,0.375,0,92.497,1.1286636323340218,0.7530000000000001,0.541000000000011,0.6929681845220924,1.6003092077492833,332,11,-0.5000000000000004,0.8660254037844384,-0.5380051715382992,0.8429415373547832
2025-11-29,104.263,15,6.950866666666667,6.006200000000001,0.375,0,92.7245,1.1244385248774595,-0.13500000000000512,0.07399999999999807,0.7012129287359933,1.4480700092654055,333,11,-0.5000000000000004,0.8660254037844384,-0.5234156073655503,0.8520775211013093
2025-11-30,105.092,15,7.0061333333333335,6.1462,0.375,0,92.941,1.1307388558332705,0.8289999999999935,0.5049999999999812,0.8163661060122086,1.4792948115306492,334,11,-0.5000000000000004,0.8660254037844384,-0.5086709438521042,0.8609610158889945
2025-12-01,103.585,15,6.905666666666666,6.0644,0.375,0,93.488,1.108003166181756,-1.507000000000005,-0.08700000000001751,0.8199587387980287,1.1160693481018775,335,12,-2.4492935982947064e-16,1.0,-0.49377555015997737,0.8695893893466109
2025-12-02,104.42399999999999,15,6.9616,6.187,0.375,0,94.274,1.1076648916986656,0.8389999999999986,1.3129999999999882,0.778536845014741,1.1769093014357852,336,12,-2.4492935982947064e-16,1.0,-0.4787338401157883,0.8779600847008883
2025-12-03,103.99,15,6.932666666666666,6.236,0.375,0,97.46199999999999,1.0669799511604523,-0.4339999999999975,1.3090000000000117,0.5195128670643921,1.0264273267994672,337,12,-2.4492935982947064e-16,1.0,-0.4635502709028512,0.8860706215341378
2025-12-04,104.703,15,6.9802,6.3248,0.375,0,101.4445,1.032121011981921,0.7130000000000081,1.0579999999999927,0.48396684262428774,1.077366278593473,338,12,-2.4492935982947064e-16,1.0,-0.4482293417404106,0.893918596519257
2025-12-05,104.136,15,6.9424,6.3398,0.375,0,102.585,1.0151191694692208,-0.5670000000000073,-0.26200000000001467,0.48979645918115433,0.9083689824046779,339,12,-2.4492935982947064e-16,1.0,-0.4327755925504317,0.9015016841318838
2025-12-06,103.60099999999998,15,6.9067333333333325,6.2938,0.375,0,102.89599999999999,1.006851578292645,-0.5350000000000108,-0.6620000000000203,0.5600028911470748,0.753161103471557,340,12,-2.4492935982947064e-16,1.0,-0.41719360261231697,0.9088176373395028
2025-12-07,104.51399999999998,15,6.967599999999999,6.5138,0.375,0,103.348,1.011282269613345,0.9129999999999967,-0.5780000000000172,0.4394046838488776,0.8586889057084163,341,12,-2.4492935982947064e-16,1.0,-0.4014879892059737,0.9158642882672868
2025-12-08,102.34700000000001,15,6.823133333333334,6.4026000000000005,0.375,0,103.59299999999999,0.9879721602811002,-2.166999999999973,-1.2379999999999853,0.7996648702799084,0.40388415429350827,342,12,-2.4492935982947064e-16,1.0,-0.38566340624360745,0.9226395488404875
