date,daily_active_kwh,baseline_kwh,deviation_pct,active_hours_count,mean_active_intensity,t1a_zscore_severity,t1b_cusum_severity,t2a_iforest_severity,t2b_lstm_severity,t3_changepoint_severity,s1,s2,s3,ensemble_score,vote_count,anomaly_type,confidence,physically_supported,is_ground_truth
2025-10-29,85.63000000000001,85.264,0.42925501969849095,14,6.116428571428572,0.0,0.0,0.10802001537319607,0.0,0.0,0.0,0.10802001537319607,0.0,0.037807005380618625,0,normal,low,False,0
2025-10-30,89.62500000000001,85.264,5.114702570778841,15,5.9750000000000005,0.0,0.0,0.18463927597632718,0.0,0.0,0.0,0.18463927597632718,0.0,0.0646237465917145,0,normal,low,False,0
2025-10-31,89.81299999999999,85.56450000000001,4.965260125344419,15,5.9875333333333325,0.0,0.0,0.1589102837565862,0.0,0.0,0.0,0.1589102837565862,0.0,0.055618599314805166,0,normal,low,False,0
2025-11-01,89.98400000000001,85.691,5.009861012183202,15,5.998933333333334,0.0,0.0,0.12894981656619242,0.0,0.0,0.0,0.12894981656619242,0.0,0.04513243579816734,0,normal,low,False,0
2025-11-02,90.345,85.848,5.238328207934508,15,6.023,0.0,0.0,0.12256795626894772,0.0,0.0,0.0,0.12256795626894772,0.0,0.0428987846941317,0,normal,low,False,0
2025-11-03,92.038,85.9805,7.045202109698755,16,5.752375000000001,0.0,0.0,0.3420321639784364,0.0,0.0,0.0,0.3420321639784364,0.0,0.11971125739245272,0,normal,low,False,0
2025-11-04,89.56700000000001,86.106,4.019464381064988,15,5.971133333333333,0.0,0.0,0.11887965242551025,0.0,0.0,0.0,0.11887965242551025,0.0,0.04160787834892859,0,normal,low,False,0
2025-11-05,90.39700000000002,86.3485,4.6885585736325845,15,6.026466666666668,0.0,0.0,0.09537289618174385,0.0,0.0,0.0,0.09537289618174385,0.0,0.03338051366361035,0,normal,low,False,0
2025-11-06,91.21499999999996,86.52850000000001,5.416134568316555,15,6.080999999999999,0.0,0.0,0.08318832222728684,0.0,0.0,0.0,0.08318832222728684,0.0,0.02911591277955039,0,normal,low,False,0
2025-11-07,91.441,86.7445,5.41417611484977,15,6.096066666666667,0.0,0.0,0.08028528633089965,0.0,0.0,0.0,0.08028528633089965,0.0,0.028099850215814876,0,normal,low,False,0
2025-11-08,91.304,87.05449999999999,4.881424854489082,15,6.0869333333333335,0.0,0.0,0.08129005236317698,0.0,0.0,0.0,0.08129005236317698,0.0,0.02845151832711194,0,normal,low,False,0
2025-11-09,91.795,87.293,5.1573436586535255,15,6.119666666666666,0.0,0.0,0.07392273704891923,0.0,0.0,0.0,0.07392273704891923,0.0,0.02587295796712173,0,normal,low,False,0
2025-11-10,92.475,87.706,5.4374843225613025,15,6.165,0.0,0.0,0.07036294344714802,0.0,0.0,0.0,0.07036294344714802,0.0,0.024627030206501806,0,normal,low,False,0
2025-11-11,92.93,88.0085,5.592073492837724,15,6.195333333333333,0.0,0.0,0.07181672735009018,0.0,0.0,0.0,0.07181672735009018,0.0,0.02513585457253156,0,normal,low,False,0
2025-11-12,92.265,88.30799999999999,4.480907731978076,15,6.150999999999999,0.0,0.0,0.06821757299353506,0.0,0.0,0.0,0.06821757299353506,0.0,0.02387615054773727,0,normal,low,False,0
