Date,OSF_ID,NightMean,DailyTotal,NightEfficiency,NightSlope_14d,NightSlope_30d,DailySlope_14d,DailySlope_30d,Night_Volatility_14d,Night_Volatility_30d,FlagAccum_14d,DegradationScore,RiskLevel,missing_ratio,data_quality_flag
2025-05-31,2193681000,6.4441,64.105,0.9402915382457661,-0.004081758241759067,-0.018270901001112172,-0.12571208791208677,-0.14355773081201514,0.0431555479478742,0.2443236091508687,14.0,30.0,LOW_RISK,0.0,complete
2025-06-01,2193681000,6.4854,64.493,0.9463178321470944,-0.006062417582417231,-0.01649074527252461,-0.14475824175823956,-0.13144961067853328,0.03729617132634842,0.23592764693059526,14.0,30.0,LOW_RISK,0.0,complete
2025-06-02,2193681000,6.4664,64.158,0.9435454451222702,-0.004810989010989111,-0.014271212458286971,-0.13670329670329487,-0.11554060066740927,0.03509198274174885,0.22317371052381205,14.0,15.0,LOW_RISK,0.0,complete
2025-06-03,2193681000,6.4481,64.026,0.9408751986720448,-0.004102197802197423,-0.012008765294771845,-0.12327692307692842,-0.09998264738598381,0.033492712837075056,0.20913212619513372,14.0,15.0,LOW_RISK,0.0,complete
2025-06-04,2193681000,6.4511,63.876,0.9413129439917539,-0.0023960439560440226,-0.00940487208008901,-0.1064329670329629,-0.08302291434927794,0.028067457986112283,0.19134431098109086,14.0,15.0,LOW_RISK,0.0,complete
2025-06-05,2193681000,6.4651,64.003,0.9433557554837295,-9.406593406545159e-05,-0.006829543937708403,-0.08061318681318587,-0.06652146829810673,0.021062679874994064,0.17446316160903869,14.0,15.0,LOW_RISK,0.0,complete
2025-06-06,2193681000,6.4808,64.221,0.9456466226568738,0.00152153846153924,-0.0041602224694101955,-0.06004395604395769,-0.052101890989988464,0.020899046983897714,0.15710132099212962,14.0,15.0,LOW_RISK,0.0,complete
2025-06-07,2193681000,6.4551,64.025,0.9418966044180327,0.0014476923076922053,-0.0024558175750833276,-0.050703296703298345,-0.04538286985539578,0.02089109516379781,0.14844647400217711,14.0,15.0,LOW_RISK,0.0,complete
2025-06-08,2193681000,6.4386,63.565,0.9394890051596327,3.076923076921706e-05,-0.0007939043381534296,-0.06598461538460855,-0.041661179087875484,0.019892242676011113,0.13929415002032913,14.0,15.0,LOW_RISK,0.0,complete
2025-06-09,2193681000,6.4744,63.768,0.9447127659748278,0.0011323076923078733,0.0007430255839820955,-0.05886153846153908,-0.041108342602893554,0.019919911072664356,0.13348659001054974,14.0,15.0,LOW_RISK,0.0,complete
2025-06-10,2193681000,6.445,63.666,0.9404228618416788,0.0004624175824174417,0.0023349054505007252,-0.05871648351647971,-0.03893837597330257,0.019953511905492625,0.12549961945264837,14.0,15.0,LOW_RISK,0.0,complete
2025-06-11,2193681000,6.3411,62.803,0.9252622822690876,-0.0020120879120877704,-0.0021854282536152487,-0.0698593406593385,-0.08616129032258306,0.035547164923041726,0.07240658897115444,14.0,15.0,LOW_RISK,0.0,complete
2025-06-12,2193681000,6.0699,60.756,0.8856901053673865,-0.013169670329670492,-0.0026011345939933725,-0.15029670329669179,-0.08823670745272849,0.10686341904351704,0.0821247047966203,14.0,40.0,MEDIUM_RISK,0.0,complete
2025-06-13,2193681000,6.1212,60.372,0.8931755503344118,-0.02177208791208799,-0.004631323692992319,-0.2338483516483473,-0.10788631813125675,0.13346736379280946,0.10054048421167602,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-06-14,2193681000,6.0535,59.763,0.8832970976196435,-0.030158021978022132,-0.007249388209121367,-0.31556263736263596,-0.13236484983314897,0.16125260250050766,0.12159732850211663,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-06-15,2193681000,6.0429,59.407,0.8817503974900048,-0.03576835164835164,-0.009713014460511593,-0.37557142857142617,-0.15681713014460194,0.17946818384044796,0.13946224949599761,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-06-16,2193681000,6.0451,59.328,0.882071410724458,-0.03999714285714296,-0.01229804226918801,-0.4265252747252725,-0.18185962180200235,0.1914753335331946,0.15406379216893387,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-06-17,2193681000,5.9994,58.824,0.875403090354223,-0.044283076923076786,-0.014868231368186872,-0.4750000000000046,-0.2063541713014451,0.20364319259457117,0.17007412072455688,14.0,50.0,MEDIUM_RISK,0.0,complete
2025-06-18,2193681000,5.9671,58.564,0.870690032412022,-0.047420659340659164,-0.016595684093436827,-0.5129824175824136,-0.2224402669632913,0.21276048649921875,0.18394762547948681,14.0,65.0,HIGH_RISK,0.0,complete
2025-06-19,2193681000,5.97,58.43,0.871113186221074,-0.047886373626373414,-0.01811061179087865,-0.5272571428571424,-0.235769966629589,0.21411086491004386,0.19509837824903534,14.0,65.0,HIGH_RISK,0.0,complete
2025-06-20,2193681000,5.958,58.324,0.8693622049422377,-0.04600109890109948,-0.0193288987764183,-0.5128769230769159,-0.24655305895439328,0.20827723929078973,0.2041079240100187,14.0,65.0,HIGH_RISK,0.0,complete
2025-06-21,2193681000,5.9424,58.393,0.8670859292797505,-0.0431107692307691,-0.020424627363737045,-0.47706593406593006,-0.25423893214683235,0.19918516097251748,0.2120323822861322,14.0,65.0,HIGH_RISK,0.0,complete
2025-06-22,2193681000,5.9354,58.269,0.8660645235337626,-0.03871076923076963,-0.021598754171301044,-0.43520659340658935,-0.26345873192436325,0.18476885114014086,0.21971940245707364,14.0,65.0,HIGH_RISK,0.0,complete
2025-06-23,2193681000,5.9768,58.319,0.872105408945748,-0.02973582417582387,-0.022463737486095127,-0.3619472527472515,-0.27133459399332743,0.15157406342542812,0.22451310129962132,14.0,65.0,HIGH_RISK,0.0,complete
2025-06-24,2193681000,5.9624,58.236,0.8700042314111444,-0.019954285714285425,-0.023390300333704338,-0.27047032967032636,-0.28001001112347124,0.10570369222240715,0.22941395712584617,14.0,55.0,MEDIUM_RISK,0.0,complete
2025-06-25,2193681000,5.9768,58.307,0.872105408945748,-0.011065274725274214,-0.02369374860956607,-0.18154725274724906,-0.28278375973303593,0.05547615515883825,0.2311066461291392,14.0,55.0,MEDIUM_RISK,0.0,complete
2025-06-26,2193681000,5.9851,58.677,0.8733165043302764,-0.00927846153846166,-0.023916907675194495,-0.12977362637362572,-0.2820809788654051,0.05194997012129146,0.23225301653510746,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-06-27,2193681000,6.1632,60.118,0.8993039848103389,-0.00033912087912034867,-0.02254329254727445,-0.04034945054945252,-0.26747964404894414,0.0603111114541413,0.22734562550615167,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-06-28,2193681000,6.0962,59.708,0.8895276726701694,0.004269450549450377,-0.021784671857619797,0.018400000000002085,-0.2575515016685211,0.0642603700956808,0.22441482292203474,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-06-29,2193681000,6.1457,60.136,0.8967504704453693,0.009755164835164585,-0.0206632925472748,0.07788351648351455,-0.24440133481646287,0.0744259614399603,0.22086526659596695,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-06-30,2193681000,6.1555,60.274,0.8981804384897523,0.015141538461538227,-0.019180756395995507,0.13550109890109774,-0.2279561735261394,0.08382042028731194,0.215802818177463,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-07-01,2193681000,6.1576,60.27,0.8984868602135487,0.018596043956043373,-0.01727143492769755,0.1722307692307716,-0.2071563959955526,0.09160851368851364,0.20817580515174322,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-07-02,2193681000,6.1568,60.301,0.8983701281282929,0.020267472527471794,-0.015352458286985827,0.19491868131868326,-0.18658798665183116,0.09583733500165073,0.2006678121077065,14.0,45.0,MEDIUM_RISK,0.0,complete
2025-07-03,2193681000,6.3066,61.648,0.9202282110924331,0.02548065934065955,-0.012455483870967548,0.2440395604395569,-0.15652347052280097,0.11649760290888146,0.1953193311053725,14.0,15.0,LOW_RISK,0.0,complete
2025-07-04,2193681000,6.5545,64.19,0.9564005660110603,0.035901538461537714,-0.007875506117908698,0.34814945054945046,-0.11003537263626265,0.17062188450643292,0.201485527731049,14.0,15.0,LOW_RISK,0.0,complete
