Date,n_present,DailyTotal_kWh,DailyExpected_kWh,DailyResidual,Mean_Abs_Residual,Max_Abs_ZScore,Anomaly_Hours,Daily_Anomaly_Score
2025-09-05,24,80.859,84.8285,-3.9695000000000027,0.16568750000000013,1.9621378370424127,0,0.16568750000000013
2025-07-07,24,60.629,61.397,-0.7679999999999998,0.16541666666666666,1.144169700825841,0,0.16541666666666666
2025-04-06,24,79.448,75.4845,3.963499999999999,0.1651458333333333,1.9161395040047677,0,0.1651458333333333
2025-06-09,24,63.768,59.85,3.918,0.16325,2.485244432283304,0,0.16325
2025-09-06,24,81.515,85.42699999999999,-3.912,0.16320833333333332,2.2653513556859592,0,0.16320833333333332
2025-02-07,24,98.262,94.3485,3.9135000000000013,0.16306250000000005,2.0735250545387545,0,0.16306250000000005
2025-09-27,24,89.057,85.42699999999999,3.6300000000000012,0.1599583333333334,1.932179832832472,0,0.1599583333333334
2025-11-01,24,89.988,93.639,-3.6510000000000007,0.15937500000000007,1.340933518210879,0,0.15937500000000007
2025-09-07,24,81.7,85.42699999999999,-3.7270000000000003,0.1590416666666666,2.0004939286890506,0,0.1590416666666666
2025-06-10,24,63.666000000000004,59.85,3.816000000000001,0.15900000000000006,1.8618792325317695,0,0.15900000000000006
2025-05-15,24,64.86,65.267,-0.40699999999999803,0.07875,2.7519275909715057,2,0.1575
2025-07-05,24,62.671,60.8075,1.8635000000000013,0.1563125,1.932179832832472,0,0.1563125
2025-11-02,24,90.349,93.639,-3.290000000000002,0.1559583333333334,1.9364879231109704,0,0.1559583333333334
2025-10-27,24,88.782,85.32600000000001,3.455999999999999,0.15574999999999997,2.0867717850450886,0,0.15574999999999997
2025-01-05,24,99.045,96.457,2.587999999999999,0.15483333333333332,2.0300727544864547,0,0.15483333333333332
2025-04-25,24,71.80799999999999,75.4845,-3.6765000000000003,0.15360416666666668,2.0310054761673677,0,0.15360416666666668
2025-10-25,24,86.647,85.345,1.3020000000000036,0.15195833333333322,2.2872315253140147,0,0.15195833333333322
2025-02-26,24,90.70400000000001,94.3485,-3.644499999999997,0.15185416666666654,1.2509429897741093,0,0.15185416666666654
2025-04-26,24,71.901,75.4845,-3.583500000000001,0.1508958333333333,1.361790305081215,0,0.1508958333333333
2025-09-26,24,88.219,84.8285,3.390499999999998,0.15056249999999996,1.9621378370424123,0,0.15056249999999996
2025-07-20,24,58.333999999999996,60.8075,-2.473500000000001,0.15039583333333337,1.0394688700010084,0,0.15039583333333337
2025-11-15,24,90.148,93.639,-3.4910000000000014,0.1457083333333334,2.0701923923216494,0,0.1457083333333334
2025-02-06,24,97.772,94.3485,3.4235000000000033,0.14335416666666678,2.3230363681554516,0,0.14335416666666678
2025-09-25,24,87.867,84.8285,3.038499999999996,0.14289583333333342,1.4396620753388596,0,0.14289583333333342
2025-08-25,24,67.85300000000001,66.365,1.488000000000001,0.1425,1.9720227054853185,0,0.1425
2025-04-07,24,78.748,75.4845,3.2635,0.14185416666666673,1.9621378370424127,0,0.14185416666666673
2025-11-05,24,90.401,93.7745,-3.373499999999998,0.14064583333333325,2.126920374688412,0,0.14064583333333325
2025-03-27,24,80.827,84.162,-3.334999999999999,0.14062499999999992,1.9385514130399872,0,0.14062499999999992
2025-02-02,24,99.172,95.893,3.279,0.13987499999999994,2.3429624771645194,0,0.13987499999999994
2025-12-28,24,72.239,74.88550000000001,-2.6465000000000027,0.13935416666666678,2.3488194800186815,0,0.13935416666666678
2025-07-15,24,58.064,61.397,-3.333000000000001,0.1390416666666667,2.0039603091351093,0,0.1390416666666667
2025-07-06,24,62.642,60.8075,1.8345000000000011,0.13893750000000002,1.932179832832472,0,0.13893750000000002
2025-10-26,24,88.583,85.345,3.2380000000000035,0.13779166666666673,2.384333443103377,0,0.13779166666666673
2025-01-16,24,96.807,97.6845,-0.8775000000000004,0.1357291666666667,2.0184294953324766,0,0.1357291666666667
2025-07-12,24,57.558,60.8075,-3.249499999999999,0.1353958333333333,0.935329272441492,0,0.1353958333333333
2025-11-14,24,90.541,93.7745,-3.2335000000000003,0.13489583333333335,2.126920374688412,0,0.13489583333333335
2025-01-14,24,97.204,97.6845,-0.4804999999999999,0.13443750000000002,2.0020192600053885,0,0.13443750000000002
2025-02-20,24,91.625,94.3485,-2.7234999999999987,0.13322916666666662,1.722303025305323,0,0.13322916666666662
2025-12-27,24,72.215,74.88550000000001,-2.6705000000000023,0.13297916666666676,1.7472513254239688,0,0.13297916666666676
2025-01-20,24,96.569,97.6845,-1.1155,0.13281250000000003,2.0020192600053885,0,0.13281250000000003
2025-09-23,24,87.672,84.8285,2.843499999999996,0.13252083333333328,1.9871341815460584,0,0.13252083333333328
