Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-12-15,0.09750070271827854,24,1.0,0.09750070271827854,0.07403924813516884
2025-07-08,0.09737953891818979,24,1.0,0.09737953891818979,0.07390880862935917
2025-06-06,0.09686004669328524,24,1.0,0.09686004669328524,0.0733495466299924
2025-12-13,0.09676178696108817,24,1.0,0.09676178696108817,0.0732437646150722
2025-12-16,0.09629003273822462,24,1.0,0.09629003273822462,0.07273589520482865
2025-06-04,0.09584776465980657,24,1.0,0.09584776465980657,0.0722597692534968
2025-07-10,0.09557558966782204,24,1.0,0.09557558966782204,0.07196675788027966
2025-01-13,0.09549802317772987,24,1.0,0.09549802317772987,0.07188325328049326
2025-12-18,0.0950559247332001,24,1.0,0.0950559247332001,0.0714073099493874
2025-01-15,0.09485050548257626,24,1.0,0.09485050548257626,0.07118616480937415
2025-12-20,0.09469171211527827,24,1.0,0.09469171211527827,0.07101521500141972
2025-12-03,0.09464621706314744,24,1.0,0.09464621706314744,0.07096623707144076
2025-06-12,0.09450749062049114,24,1.0,0.09450749062049114,0.07081689041336661
2025-07-14,0.09411487381745362,24,1.0,0.09411487381745362,0.07039421679531178
2025-12-21,0.09401456084766519,24,1.0,0.09401456084766519,0.07028622435700993
2025-07-11,0.09364341535633453,24,1.0,0.09364341535633453,0.06988666578887989
2025-06-03,0.09353188034797771,24,1.0,0.09353188034797771,0.06976659220782779
2025-01-20,0.09274574762983671,24,1.0,0.09274574762983671,0.06892027702804632
2025-07-15,0.09272393001760487,24,1.0,0.09272393001760487,0.0688967891665284
2025-12-23,0.09240004581239972,24,1.0,0.09240004581239972,0.06854810997657587
2025-06-02,0.09239530325851773,24,1.0,0.09239530325851773,0.0685430043560507
2025-01-16,0.09219505280017969,24,1.0,0.09219505280017969,0.06832742370568615
2026-01-03,0.09161271478718026,24,1.0,0.09161271478718026,0.06770050475320873
2025-07-12,0.09137692162086701,24,1.0,0.09137692162086701,0.06744666041963164
2025-12-26,0.09108099497507675,24,1.0,0.09108099497507675,0.06712807908259436
2025-06-01,0.09084854724863772,24,1.0,0.09084854724863772,0.06687783629934493
2025-07-13,0.09049762613698337,24,1.0,0.09049762613698337,0.06650005039011427
2025-05-31,0.09043970302703781,24,1.0,0.09043970302703781,0.06643769297122576
2026-01-05,0.09033616095089826,24,1.0,0.09033616095089826,0.06632622422204279
2025-08-23,0.09025250289673752,24,1.0,0.09025250289673752,0.06623616171794725
2025-11-03,0.0898074434798656,24,1.0,0.0898074434798656,0.06575703073699266
2025-05-30,0.08965071993229518,24,1.0,0.08965071993229518,0.06558830920400302
2025-12-07,0.08921417391004083,24,1.0,0.08921417391004083,0.06511834336136421
2025-08-12,0.08917432914384381,24,1.0,0.08917432914384381,0.06507544827547194
2025-11-26,0.08884750544723535,24,1.0,0.08884750544723535,0.06472360456108475
2025-01-22,0.08855260075413793,24,1.0,0.08855260075413793,0.06440612341242152
2025-01-19,0.08820482120963456,24,1.0,0.08820482120963456,0.06403171957330044
2025-12-28,0.08820284735811532,24,1.0,0.08820284735811532,0.06402959461339885
2025-12-24,0.0881792641906479,24,1.0,0.0881792641906479,0.06400420603440395
2025-07-22,0.088156510436354,24,1.0,0.088156510436354,0.0639797103643834
2025-01-18,0.08798906039802595,24,1.0,0.08798906039802595,0.06379944117316191
2025-07-17,0.0871591467184554,24,1.0,0.0871591467184554,0.0629059933764721
2025-05-29,0.08707103869685362,24,1.0,0.08707103869685362,0.06281114023727388
2025-12-30,0.08691644208372971,24,1.0,0.08691644208372971,0.06264470846639052
2025-12-10,0.08686937322435445,24,1.0,0.08686937322435445,0.06259403624621059
2025-12-06,0.0865669551828513,24,1.0,0.0865669551828513,0.06226846656407201
2025-12-04,0.08615835149631304,24,1.0,0.08615835149631304,0.06182858218519799
2025-12-02,0.0855935544516952,24,1.0,0.0855935544516952,0.06122054705152981
2025-05-28,0.08541258514324428,24,1.0,0.08541258514324428,0.06102572362123327
