Date,OSF_ID,Priority,CombinedScore,AnomalyTypes,RuleScore,ForecastScore,GAFScore,CPScore,Anomaly_Hours,CP_Proximity_Days,missing_ratio,data_quality_flag
2025-01-31,2193681000,LOW,0.128364515611929,ScheduleShift,0.3333333333333333,0.024870615772774454,0.043008717892546754,0.061507936507936505,0,11,0.0,complete
2025-02-28,2193681000,LOW,0.1280026303509453,ScheduleShift,0.3333333333333333,0.014655809774518346,0.013862770426282338,0.10416666666666667,0,7,0.0,complete
2025-05-17,2193681000,LOW,0.1279724141641802,ScheduleShift,0.3333333333333333,0.006468382506523082,0.0515880684896878,0.07857142857142858,1,9,0.0,complete
2025-08-21,2193681000,LOW,0.12796386129170711,ScheduleShift,0.3333333333333333,0.006345712002811476,0.026134071787651668,0.10416666666666667,0,7,0.0,complete
2025-07-07,2193681000,LOW,0.12789031113473878,ScheduleShift,0.3333333333333333,0.012479237188392053,0.10358984274824878,0.017142857142857144,0,24,0.0,complete
2025-07-21,2193681000,LOW,0.1277852803404762,ScheduleShift,0.3333333333333333,0.012558807244853639,0.05082412157103127,0.06926406926406926,0,10,0.0,complete
2025-01-02,2193681000,LOW,0.1263752628208062,ScheduleShift,0.3333333333333333,0.007580705587475671,0.09043006775289265,0.03007518796992481,0,18,0.0,complete
2025-07-20,2193681000,LOW,0.12636563834615355,ScheduleShift,0.3333333333333333,0.011284028631958652,0.053394212274893216,0.061507936507936505,0,11,0.0,complete
2025-01-01,2193681000,LOW,0.12603208693937656,ScheduleShift,0.3333333333333333,0.008757679339303298,0.08964296330697549,0.027380952380952384,0,19,0.0,complete
2025-07-17,2193681000,LOW,0.1258096395320014,ScheduleShift,0.3333333333333333,0.014465173180912467,0.06290599344419387,0.044444444444444446,0,14,0.0,complete
2025-07-18,2193681000,LOW,0.12574010518467132,ScheduleShift,0.3333333333333333,0.012588646016026732,0.06049782900816015,0.04931972789115646,0,13,0.0,complete
2025-01-03,2193681000,LOW,0.12531498969435212,ScheduleShift,0.3333333333333333,0.007524343464148709,0.08221965020675459,0.03306878306878307,0,17,0.0,complete
2025-05-18,2193681000,LOW,0.12528140208213293,ScheduleShift,0.3333333333333333,0.0030535009167133595,0.05256268977152534,0.06926406926406926,0,10,0.0,complete
2025-04-17,2193681000,LOW,0.12490450551397717,ScheduleShift,0.3333333333333333,0.0031513057777807192,0.015628902236548173,0.10416666666666667,0,7,0.0,complete
2025-09-05,2193681000,LOW,0.12465241455650355,ScheduleShift,0.3333333333333333,0.01250078741201708,0.014563801717402236,0.08994708994708994,0,8,0.0,complete
2025-07-14,2193681000,LOW,0.12453086058654135,ScheduleShift,0.3333333333333333,0.012794201995219169,0.07039421687109496,0.03306878306878307,0,17,0.0,complete
2025-02-01,2193681000,LOW,0.1245013273113678,ScheduleShift,0.3333333333333333,0.02007983528998312,0.0374418286768094,0.05494505494505495,1,12,0.0,complete
2025-07-15,2193681000,LOW,0.12417644409817134,ScheduleShift,0.3333333333333333,0.010380576949217733,0.0688967892406996,0.036414565826330535,0,16,0.0,complete
2025-07-09,2193681000,LOW,0.12412827327712038,ScheduleShift,0.3333333333333333,0.01395459865195063,0.07900553466026401,0.020703933747412008,0,22,0.0,complete
2025-05-19,2193681000,LOW,0.12410630881352806,ScheduleShift,0.3333333333333333,0.0028678374516363275,0.054721851382249394,0.061507936507936505,0,11,0.0,complete
